key,a_1,a_2,a_3,a_4
#.##.#r#r##.@..#.#.##p#E.2,-172.43451878204698,-189.19983042243382,-176.2392878170972,-143.671341534495
#.##.#r#r##.@..#.#.##p#E.1,-254.51508152498977,-236.15771008200718,-251.10031148178962,-249.29757899998762
#.##.#r#r##.@..#.#.##p#E.0,-275.780725052323,-263.62976259312484,-277.04500756738133,-265.8900414533713
##m..##.####@#.##...##.#.0,-336.7021723037054,-341.08638595271407,-337.17733688716135,-341.4943751420303
m.#..####.##@...##.#.####2,0.0,-5.5,0.0,0.0
m.#..####.##@...##.#.####1,158.5554892298971,309.694672743032,157.8679892298971,98.82865948659807
##m..##.####@#.##...##.#.3,-71.16733396313651,-110.18674591263013,-129.24542159864626,-110.68634278725324
m.#..####.##@...##.#.####0,99.93177647165263,160.43322838698526,95.06745661910017,70.79476171082004
##m..##.####@#.##...##.#.2,-140.81739384517044,-225.55482625890525,-216.50479411501385,-186.48287461342346
##m..##.####@#.##...##.#.1,-208.9082237589318,-339.43378952327635,-340.40012717530124,-347.0212474015075
..#..####.##@...##.#.####0,-20.625,110.50181210888874,-19.25,-19.25
#..#####r#..@..#..#.pm.X.1,396.85466583275934,451.42598927605513,580.241131804647,352.4981858032769
..#..####.##@...##.#.####1,300.1935105042621,371.1385137396818,256.5088586094068,293.1848656128004
#..#####r#..@..#..#.pm.X.0,496.3089229138626,441.14633414626303,577.1773045891551,441.3705537434273
..#..####.##@...##.#.####2,-27.131426837005847,206.92011611469698,-5.800053186197186,-20.21795819257477
..##...####.@..#.##...#p.0,28.30503876825076,100.25679804182565,0.0,0.0
..##...####.@..#.##...#p.1,78.45749991454103,-10.9266012385404,94.97124990029786,146.788888762283
.#.#....#.##@mp#.###...##2,77.66686223325178,-16.003705481612176,21.724975027541475,13.401451890822988
..#####.##..@.#..#.#m.X.#1,26.11046464906171,382.3232497798758,36.82092358331131,59.09847224932529
.#.#....#.##@mp#.###...##1,-61.36173260769346,-321.29191524109535,-166.1261936262602,-159.90602178626625
..#####.##..@.#..#.#m.X.#0,393.42084002576826,473.829789749852,440.4615453764545,509.2169691210215
.#.#....#.##@mp#.###...##0,-99.32789339108588,-369.41383577133803,-187.825730073364,-167.8324914803678
##.####.#.##@..##.#.##p#E2,-216.21177765917605,-219.21809023890395,-213.65099575964382,-222.51535741312617
##.####.#.##@..##.#.##p#E1,-269.01050940850286,-251.86867724193058,-227.39492797132874,-252.14875507196746
##.####.#.##@..##.#.##p#E0,-335.5599000966143,-336.2534922535573,-332.24486110966177,-334.52252789419106
...m.#..#.p.@X.#.##r..###0,570.151394265817,723.9630927009166,629.0774068366453,575.6379643480291
...m.#..#.p.@X.#.##r..###2,0.0,363.9128844164925,0.0,0.0
...m.#..#.p.@X.#.##r..###1,571.2038968199079,728.8821480443463,630.8662325437895,569.5593556760012
##.mp#.###..@###.#.##E..#0,-340.2578298765025,-332.7051940328342,-336.93952613830487,-336.75882229976
##.mp#.###..@###.#.##E..#3,-207.0408701885326,-205.7948982082034,-205.00897410863584,-170.98771935720936
##.mp#.###..@###.#.##E..#2,-251.22456463843014,-272.08092286361443,-258.39324097296463,-204.88324848430048
##.mp#.###..@###.#.##E..#1,-346.84056064356594,-347.0611173382567,-327.7889777721323,-276.20559609909253
.#.##....#.#@#.p#E..#####0,-338.0478185770555,-342.5102584165723,-336.0361580873355,-344.7099603683904
.#.##....#.#@#.p#E..#####2,-214.36350692780312,-244.73713013822243,-255.39564971939188,-245.2106143267449
.#.##....#.#@#.p#E..#####1,-244.2008879482146,-264.11461737883747,-273.2137311678026,-268.3987026055686
.#r##....#.#@#..#E..#####0,-205.8621431838756,-236.31285508717178,-255.4788260447517,-235.83788362463807
.##.m.#.##..@.#m#.#.p#E..1,-346.7299056348307,-342.672471193158,-341.6593442506354,-339.2653296939842
.##.m.#.##..@.#m#.#.p#E..0,-234.87951426396972,-247.19103823512518,-231.87660211489185,-186.0088298504433
.#r##....#.#@#..#E..#####2,-185.8323936923652,-221.43585008434897,-244.84025407127353,-221.79736949474358
.#r##....#.#@#..#E..#####1,-321.81308765280494,-321.20172711040976,-321.7423845811935,-317.4924045942337
.##.m.#.##..@.#m#.#.p#E..2,-266.48486210506553,-266.5817614226304,-272.4600015557513,-232.93758398461074
.#....#.#...@#.##.mp#.###0,-29.189469499965234,-138.32647976236757,-149.7104770611204,-147.20314122093453
.#....#.#...@#.##.mp#.###1,20.234370512487484,-39.409055329596406,-123.1848273421314,-74.3397981493822
.#....#.#...@#.##.mp#.###2,117.12133203885546,70.77590283146938,46.84667892174191,44.98299537996053
..##...####.@..#.##...#..1,-16.5,0.0,0.0,-7.5
...##.#....#@##..p#p#####0,-11.25,79.86473751960094,158.84060423880214,39.13699286834339
...##.#....#@##..p#p#####1,0.0,-19.5,-11.304375,-19.5
..##...####.@..#.##...#..2,0.0,-5.5,0.0,0.0
.#r##....#.#@#..#E..#####3,-185.26642274351514,-218.802950309861,-233.6358725985845,-218.8086557119043
##.#.#..#.#.@..#.##.#.#r#0,-174.7966716953233,-103.40387646674782,-171.2863920761637,-185.90577690478617
##.#.#..#.#.@..#.##.#.#r#1,-118.91925777311347,-39.844546370345924,-136.46891935887294,-91.51116626402067
##.#.#..#.#.@..#.##.#.#r#2,-21.375016949082205,44.146891522541154,2.1863614807931677,-21.24156318668919
##.#.#..#.#.@..#.##.#.#r#3,-15.5,-20.25,-19.0,0.0
...##.#....#@##...#.#####1,0.0,-22.75,15.659183380454678,-24.375
##..##p..X##@##...###.###1,575.7313562516188,460.21783208319516,129.35583793576143,419.76974226228447
##..##p..X##@##...###.###0,572.9041449363076,500.54207106912276,457.24364786858155,503.77963350227657
.#....#.#...@#.##..p#r###0,-105.26912048943115,-119.28783770791117,-109.49570580220274,-125.711186831444
.#....#.#...@#.##..p#r###1,45.7303589617722,61.92281127650102,104.31771406862393,-23.62871465942861
######..#..#@#.......##..0,-200.33410121539657,-188.08811994248595,-187.23869940514345,-191.50941795361422
r#r##....#m#@#.p#E..#####2,-211.29369140088374,-232.33527813234832,-239.47481743584063,-233.81858567562398
.#....#.#...@#.##..p#r###2,102.34866278137804,55.93563301549689,102.60707656292229,38.56091915026184
r#r##....#m#@#.p#E..#####1,-267.499658829302,-296.89378382252835,-317.04857922954295,-304.07292408494413
######..#..#@#.......##..1,-182.63117387045725,-180.37221643121012,-153.13204130787415,-175.1671623579449
######..#..#@#.......##..2,-5.69068672329519,17.987491796678363,-104.20929408240482,19.54344843746071
######..#..#@#.......##..3,-21.75,0.0,-12.5,-18.0
...##.#....#@##.mp#p#####1,319.0648691148999,176.00254551775967,213.0696126588517,158.81604602921215
...##.#....#@##.mp#p#####2,98.21545879635252,58.290365392746736,234.42070902693365,67.9178906253903
#..#..#.....@##...##.#.m.3,-10.5,-27.5625,-8.5,-15.75
#..#..#.....@##...##.#.m.2,154.353216764198,185.68849900387323,238.97277203373264,152.39889930271838
...##.#....#@##.mp#p#####0,315.81194312617436,228.48187696281664,224.55401600954224,231.5483597141337
#..#..#.....@##...##.#.m.1,-148.28965184304792,-118.09174861989868,-128.57990139456518,-83.62703324098604
.#.#....#.##@.p#.###...##0,-107.97462528420826,-103.80212994686579,-117.95386458983961,-116.59538068428259
.####..##..#@##E..#######3,-326.95569932456124,-326.37544047562915,-298.27798227356317,-326.4171958031119
.#.#....#.##@.p#.###...##2,76.65652264800764,158.15114822374284,99.7198313548947,-93.74738156036756
.####..##..#@##E..#######1,-349.26265590577214,-352.4145816633831,-343.53672384364495,-349.63664142615744
.#.#....#.##@.p#.###...##1,76.64773746112519,68.05948786809898,70.98287478333643,54.38207556263166
.####..##..#@##E..#######2,-320.0233938302397,-321.6126286628835,-287.71158355796547,-319.2736798703571
#..#..#.....@##...##.#.m.0,-43.61404266939969,-105.0027758515451,-17.703781051944464,-5.906560400634904
.####..##..#@##E..#######0,-336.94964079175594,-336.58421820692786,-308.1917465348676,-335.45062484012226
###r#.....#.@#....X.#.##r0,-5.25,-10.5,-1.5,0.0
#..#####.#..@..#..#....X.1,-13.125,-4.5,-3.75,-4.5
m...#.##.mr#@##.m..#m#.#.3,-251.94340558372454,-254.46263528116998,-223.06618305825972,-272.3483701886207
.#....#....#@#....#.##.m.2,122.7992087848651,67.93267652827183,39.740497367088686,60.92258399617602
.#....#....#@#....#.##.m.1,-80.39892329520208,-141.45095254898635,-129.7034539615841,-136.15443136103568
.#....#....#@#....#.##.mp2,155.5777766281534,106.64660314751248,80.4068948393786,108.51013554307156
.#....#....#@#....#.##.mp1,-90.63887453117201,-90.52866863528695,-93.70941843008016,-88.22793957195447
.#....#....#@#....#.##.mp0,-6.3952044413828135,-140.98091749831593,-134.4605852474625,-145.71293607675173
###r#.....#.@#....X.#.##r1,-7.275,-7.0,0.0,-143.07753861011474
######.#..#.@#..#......##0,-184.01226330284015,-181.19670859890397,-177.01046146944924,-178.32074206807323
######.#..#.@#..#......##1,-158.35730682119356,-190.8538698009652,-155.98810029560116,-150.13212983709184
######.#..#.@#..#......##2,88.50638882135192,89.281573821726,124.62350215794976,61.84479036303193
m...#.##.mr#@##.m..#m#.#.2,-303.7048437664239,-283.7358181892996,-232.65252647217733,-283.74668340801804
#..#####.#..@..#..#....X.0,-8.0,105.50552854095342,-3.75,-6.075
.#....#.##..@#p#####.##..2,219.15785982003183,173.8611864822601,165.95281457228833,142.53618219218822
.#....#.##..@#p#####.##..1,261.52382978499577,208.25499864261707,209.4625024269892,134.92190856571267
.#....#.##..@#p#####.##..0,188.0462886015415,199.89249233732613,199.67688427565838,162.08479163143969
......##..p#@..###.##...#2,363.3553615139921,453.7754226988435,182.51913151112132,303.83510026263366
......##..p#@..###.##...#1,284.15384916694495,569.0386092055635,444.9003772168396,330.2740312251568
##...##.####@#r##...##m#.2,-52.24917397186772,-92.72029522808404,-165.02147985200912,-94.66660976479686
##...##.####@#r##...##m#.1,-136.11165927358093,-248.94632215475107,-287.3496683684831,-236.13581180544173
##...##.####@#r##...##m#.0,-193.63291530315553,-199.66977097492205,-198.04242159308396,-205.81602919147517
....#.#.#.p#@..##########0,-337.4484455432956,-334.6433907642269,-333.7757240108335,-340.80753197899753
r#r##.m..#m#@#.p#E..#####2,-241.36111304164237,-280.6821653996461,-294.82677935218226,-287.6875126841484
....#.#.#.p#@..##########1,-251.3214333685077,-292.77978894894306,-280.2903041016423,-280.2490658354034
....#.#.#.p#@..##########2,-236.19034597784255,-265.3523986836776,-261.8704549802105,-261.8416377813072
############@####.#.##..#2,-176.11350696561053,-176.10991961804376,-140.06450149095244,-176.18189202832525
############@####.#.##..#0,-219.04153884374352,-219.04788638970996,-187.88029557013863,-256.3115403623698
############@####.#.##..#1,-252.01103008667835,-256.8150736038442,-247.27110369479436,-253.46807318992362
##.####.#.##@.####.###..#1,-240.5249577968746,-237.45806395512088,-238.7617225179996,-240.2983183710325
##.####.#.##@.####.###..#2,-140.0138836384493,-83.42695942285035,-121.09082514619858,-121.0902992694425
....#.##...#@##....#.#.#.1,-258.953555530407,-258.7641588356619,-219.8726811539397,-260.2947970115486
.##.mr#.##.m@.#m#.#.p#E..3,-256.07491722313523,-240.32427849243305,-248.00138328510272,-214.42145605288738
....#.##...#@##....#.#.#.2,-235.87466251561972,-236.01864447917714,-202.98597394508266,-236.01140785017324
#####.#.p#.#@.#...###..##2,-89.69497618429523,-94.30343446090905,-42.7750240753969,-76.71330731732726
##.####.#.##@.####.###..#0,-187.8337276558965,-142.79812237179425,-174.33700684827676,-174.44793816123945
#####.#.p#.#@.#...###..##1,-107.98152643791236,-92.61920453775912,-132.41923309564123,-123.99282820458522
#####.#.p#.#@.#...###..##0,-178.8129064160182,-173.08664289730962,-177.0795300627039,-176.62055871057868
.##.mr#.##.m@.#m#.#.p#E..2,-257.3129374849533,-278.4701961247287,-286.7056601955634,-206.77554993482917
##..#####r..@..##..##p..X0,0.0,53.40367580340676,0.0,87.3445305961128
....#.##...#@##....#.#.#.0,-246.1239848259729,-246.42138781110242,-215.0344873921747,-246.29883813958588
##.mp#r###m.@###.#.##E..#2,-282.40591681345035,-277.3532077039101,-284.29481823791724,-249.90518929604065
##.mp#r###m.@###.#.##E..#3,-250.05988749797467,-244.52232492026917,-239.30162619298073,-202.16745711698138
r#r##.m..#m#@#.p#E..#####3,-193.6058944255148,-237.0182936217195,-249.5661699980725,-236.23729627042047
..##...####.@.r#.##.mp#pm2,363.5124628414572,430.86692766907413,362.3013739880214,171.63591380203013
